congressperson_name,congressperson_id,twitter_profile,secondary_twitter_profile,facebook_page
ASSIS DO COUTO,74378,assisdocouto,,https://www.facebook.com/deputadoassisdocouto
ASSIS MELO,160581,AssisMelo_cxs,,https://www.facebook.com/AssisMeloOficial
AUGUSTO CARVALHO,73655,augustodeputado,,https://www.facebook.com/Dep.AugustoCarvalho
AUGUSTO COUTINHO,160665,,,https://www.facebook.com/augusto.coutinho
AUREO,160512,DeputadoAureo,,https://www.facebook.com/aureodeputado
BACELAR,69871,DeputadoBacelar,,https://www.facebook.com/bacelaroficial
BALEIA ROSSI,178975,baleia_rossi,,https://www.facebook.com/BaleiaRossi
BEBETO,178834,deputadobebeto,,https://www.facebook.com/bebetogalvao
BENEDITA DA SILVA,73701,,,https://www.facebook.com/blogdabenedita
BENITO GAMA,74535,benitogama,,https://www.facebook.com/BenitoGamaOficial
BENJAMIN MARANHÃO,74040,benjamimaranhao,,https://www.facebook.com/benjamin.maranhao
BERNARDO SANTANA DE VASCONCELLOS,109152,SantanaBernardo,,www.facebook.com/SecretarioBernardoSantana
BETINHO GOMES,178915,betinhogomes,,https://www.facebook.com/betinho45
BETO FARO,141335,,,https://www.facebook.com/beto.faro.5
BETO MANSUR,73437,betomansur10,,https://www.facebook.com/betomansur
BETO ROSADO,178948,betorosado,,https://www.facebook.com/betorosado1111
BETO SALAME,178906,,,https://www.facebook.com/betosalame
