cnpj,id_parlamentar_voz,data_entrada_sociedade
11292373000280,1204511,2009-11-06
11292373000361,1204511,2009-11-06
11304456000161,1204478,2009-11-05
11304469000130,1204478,2009-11-05
11307101000126,1204489,2009-11-12
11327950000141,1204354,2009-11-18
11342178000137,173788,2013-06-07
11348571000138,1204478,2019-06-05
11377710000151,174478,1981-01-21
11377710000232,174478,1981-01-21
11377710000402,174478,1981-01-21
11411608000125,1204475,2009-12-14
11411608000206,1204475,2009-12-14
11422535000177,1178984,2009-12-15
11428569000179,1204441,2009-10-26
11435149000110,1204403,2009-12-17
11449902000126,1204511,2010-01-11
11449902000207,1204511,2010-01-11
11449902000398,1204511,2010-01-11
11451539000183,1204543,2010-01-08
11483125000136,190201,2009-12-11
11544863000146,174478,2005-09-12
11578867000145,1204523,2012-02-15
11578867000226,1204523,2012-02-15
11586819000107,1204543,2010-02-03
11609878000145,174848,2009-11-23
11656893000144,1141428,2010-03-08
11668744000103,1178896,2010-03-03
11737023000108,1204500,2010-03-18
11749649000126,1178863,2010-03-25
11756019000189,1178934,2018-12-10
11774828000113,1204425,2010-04-05
11803872000104,24770,2010-04-09
11805718000171,1204521,2010-03-05
11826652000104,25350,2010-04-15
11854918000114,1160558,2010-04-14
11917773000153,1178896,2010-05-07
11950726000101,1160518,2010-05-17
11971355000144,1160665,1987-02-26
12096499000161,1178993,2010-03-23
12102099000111,1141428,2019-03-26
12103630000170,1160642,2010-05-21
12103630000251,1160642,2010-05-21
12103630000332,1160642,2010-05-21
12111752000109,1108338,2011-10-13
12152753000100,1204532,2010-05-24
12239491000107,1178896,2010-05-21
12326760000172,174158,2013-01-07
12381367000181,1204511,2010-07-21
12381367000262,1204511,2010-07-21
12381367000343,1204511,2010-07-21
12381367000424,1204511,2010-07-21
12482265000152,1204369,2016-08-30
12601713000190,1204544,2012-03-06
12608430000170,1204573,2010-09-29
12664785000186,1141422,2015-06-09
12700890000123,198057,2010-06-28
12710232000112,1204437,1988-11-01
12753315000199,1141428,2002-04-03
12780972000125,1204542,2010-10-21
12835039000108,1204438,1987-12-14
12940639000136,1204527,2010-08-24
12942025000193,174043,2005-09-12
